排名,名字,评分,导演,类型,国家,年份,评价
132,喜剧之王,8.5,周星驰,喜剧 剧情 爱情,香港,1999,我是一个演员。
133,喜宴,8.8,李安   主演:,剧情 喜剧 爱情 同性 家庭,台湾 美国,1993,中国家庭的喜怒哀乐忍。
134,虎口脱险,8.9,杰拉尔·乌里,喜剧 战争,法国 英国,1966,永远看不腻的喜剧。
135,怪兽电力公司,8.6,彼特·道格特,喜剧 动画 儿童 奇幻,美国,2001,不要给它起名字，起了名字就有感情了。
136,疯狂原始人,8.7,科克·德·米科,喜剧 动画 冒险,美国,2013,老少皆宜，这就是好莱坞动画的魅力。
137,黑天鹅,8.5,达伦·阿罗诺夫斯基,剧情 惊悚,美国,2010,黑暗之美。
138,卢旺达饭店,8.8,特瑞·乔治,剧情 历史 战争,英国 南非 意大利 美国,2004,当这个世界闭上双眼，他却敞开了怀抱。
139,英雄本色,8.6,吴宇森,动作 犯罪,香港,1986,英雄泪短，兄弟情长。 
140,猜火车,8.5,丹尼·博伊尔,犯罪 剧情,英国,1996,不可猜的青春迷笛。 
141,穿越时空的少女,8.6,细田守,剧情 爱情 科幻 动画,日本,2006,爱上未来的你。 
142,恋恋笔记本,8.5,尼克·卡索维茨,剧情 爱情,美国,2004,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
143,魂断蓝桥,8.8,Mervyn,剧情 战争 爱情,美国,1940,中国式内在的美国电影。
144,雨中曲,8.9,Stanley,喜剧 歌舞 爱情,美国,1952,骨灰级歌舞片。
145,傲慢与偏见,8.4,乔·怀特,剧情 爱情,法国 英国 美国,2005,爱是摈弃傲慢与偏见之后的曙光。
146,教父3,8.7,弗朗西斯·福特·科波拉,剧情 犯罪,美国,1990,任何信念的力量，都无法改变命运。
147,完美的世界,9,克林特·伊斯特伍德,剧情 犯罪,美国,1993,坏人的好总是比好人的好来得更感人。
148,纵横四海,8.7,吴宇森,剧情 喜剧 动作 犯罪,香港,1991,香港浪漫主义警匪动作片的巅峰之作。
